seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
"99,284",seg_00721,1,commodity,1.0,0.0,5.0359086550998854e-31,1.0
"99,375",seg_00731,1,commodity,1.0,0.0,1.2646850586411086e-31,1.0
"99,395,17",seg_00733,1,commodity,1.0,0.0,2.8333165844107923e-31,1.0
"99,54,19,87",seg_00738,1,commodity,1.0,0.0,2.6051953312503875e-31,1.0
"99,56,50",seg_00739,1,commodity,1.0,0.0,2.3812338892714133e-31,1.0
"99,59",seg_00740,1,commodity,1.0,0.0,1.2646850586411086e-31,1.0
"99,81,244",seg_00744,1,commodity,1.0,0.0,2.3812338892714133e-31,1.0
"99,89",seg_00745,1,commodity,1.0,0.0,1.802778311124488e-30,1.0
342,seg_00001,344,proper_name,0.0,0.0,1.0,0.975609756097561
"99,267",seg_00002,77,proper_name,0.0,0.0,1.0,1.0
99,seg_00003,71,proper_name,0.0,0.0,1.0,1.0
391,seg_00004,51,proper_name,0.0,0.0,1.0,1.0
"1,342",seg_00005,27,proper_name,0.0,0.0,1.0,1.0
59,seg_00006,25,proper_name,0.0,0.0,1.0,1.0
67,seg_00007,25,proper_name,0.0,0.0,1.0,1.0
"123,293",seg_00008,22,proper_name,0.0,0.0,1.0,1.0
"211,89,336",seg_00009,18,proper_name,0.0,0.0,1.0,1.0
53,seg_00010,17,proper_name,0.0,0.0,1.0,1.0
123,seg_00011,16,proper_name,0.0,0.0,1.0,1.0
"59,87",seg_00012,15,proper_name,0.0,0.0,1.0,1.0
72,seg_00013,15,proper_name,0.0,0.0,1.0,1.0
"123,150",seg_00014,14,proper_name,0.0,0.0,1.0,1.0
"211,59",seg_00015,11,proper_name,0.0,0.0,1.0,1.0
"67,65",seg_00016,11,proper_name,0.0,0.0,1.0,1.0
70,seg_00017,11,proper_name,0.0,0.0,1.0,1.0
"8,171",seg_00018,11,proper_name,0.0,0.0,1.0,1.0
"149,130,51",seg_00019,10,proper_name,0.0,0.0,1.0,0.975609756097561
121,seg_00020,9,proper_name,0.0,0.0,1.0,1.0
"254,216",seg_00021,8,proper_name,0.0,0.0,1.0,1.0
"123,216",seg_00022,7,proper_name,0.0,0.0,1.0,1.0
65,seg_00023,7,proper_name,0.0,0.0,1.0,1.0
"89,336",seg_00024,7,proper_name,0.0,0.0,1.0,1.0
387,seg_00025,6,proper_name,0.0,0.0,1.0,1.0
87,seg_00026,6,proper_name,0.0,0.0,1.0,1.0
