seg_key,seg_id,freq,docfreq,start_prob,end_prob,avg_pos,mean_len,H_left,H_right,H_total,avg_pmi_left,avg_pmi_right,numeric_assoc,burstiness,idf,coll_skew,examples,assigned_comp_idx,assigned_label,post_commodity,post_title,post_proper_name,log_odds_num_adj,g2_num_adj,stability
37,seg_00010,16,16,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969230769199269,3.4225366976971507,0.0,"[(12, 0), (59, 0), (73, 0), (126, 0), (141, 0), (188, 0), (202, 0), (255, 0), (270, 0), (317, 0)]",0,title,0.4999999999998285,0.4999999999998285,3.493156635447614e-13,0.0,0.0,0.975609756097561
44,seg_00011,15,15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711538461201795,3.4831613195135858,0.0,"[(42, 0), (61, 0), (114, 0), (158, 0), (171, 0), (190, 0), (243, 0), (287, 0), (300, 0), (319, 0)]",0,title,0.4999999999780788,0.4999999999780788,4.383821476464371e-11,0.0,0.0,0.975609756097561
23,seg_00012,14,14,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730769230407802,3.547699840651157,0.0,"[(69, 0), (108, 0), (137, 0), (152, 0), (198, 0), (237, 0), (266, 0), (281, 0), (327, 0), (366, 0)]",0,title,0.4999999979970288,0.4999999979970288,4.005935883335376e-09,0.0,0.0,0.975609756097561
4,seg_00013,14,14,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730769230407802,3.547699840651157,0.0,"[(1, 0), (19, 0), (64, 0), (79, 0), (103, 0), (193, 0), (208, 0), (232, 0), (322, 0), (337, 0)]",0,title,0.4999999979970288,0.4999999979970288,4.005935883335376e-09,0.0,0.0,0.975609756097561
36,seg_00014,13,13,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749999999609997,3.6166927121381085,0.0,"[(27, 0), (72, 0), (85, 0), (111, 0), (201, 0), (214, 0), (240, 0), (330, 0), (343, 0), (369, 0)]",0,title,0.49999986576176103,0.49999986576176103,2.684764824189737e-07,0.0,0.0,0.975609756097561
13,seg_00015,12,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769230768807435,3.69080068429183,0.0,"[(4, 0), (36, 0), (67, 0), (134, 0), (165, 0), (196, 0), (263, 0), (294, 0), (325, 0), (392, 0)]",0,title,0.4999933418215435,0.4999933418215435,1.3316356919036067e-05,0.0,0.0,0.975609756097561
14,seg_00016,12,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769230768807433,3.69080068429183,0.0,"[(47, 0), (92, 0), (119, 0), (176, 0), (221, 0), (248, 0), (305, 0), (350, 0), (377, 0), (434, 0)]",0,title,0.4999933418215435,0.4999933418215435,1.3316356919033605e-05,0.0,0.0,0.975609756097561
24,seg_00017,12,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769230768807433,3.69080068429183,0.0,"[(82, 0), (95, 0), (122, 0), (211, 0), (224, 0), (251, 0), (340, 0), (353, 0), (380, 0), (469, 0)]",0,title,0.4999933418215435,0.4999933418215435,1.3316356919033605e-05,0.0,0.0,0.975609756097561
32,seg_00018,12,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769230768807433,3.69080068429183,0.0,"[(26, 0), (39, 0), (97, 0), (140, 0), (168, 0), (226, 0), (269, 0), (297, 0), (355, 0), (398, 0)]",0,title,0.4999933418215435,0.4999933418215435,1.3316356919033605e-05,0.0,0.0,0.975609756097561
33,seg_00019,12,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769230768807433,3.69080068429183,0.0,"[(58, 0), (84, 0), (125, 0), (187, 0), (213, 0), (254, 0), (316, 0), (342, 0), (383, 0), (445, 0)]",0,title,0.4999933418215435,0.4999933418215435,1.3316356919033605e-05,0.0,0.0,0.975609756097561
49,seg_00020,12,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769230768807436,3.69080068429183,0.0,"[(30, 0), (62, 0), (76, 0), (159, 0), (191, 0), (205, 0), (288, 0), (320, 0), (334, 0), (417, 0)]",0,title,0.4999933418215435,0.4999933418215435,1.331635691903739e-05,0.0,0.0,0.975609756097561
17,seg_00021,11,11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978846153799881,3.7708433919653666,0.0,"[(48, 0), (106, 0), (150, 0), (177, 0), (235, 0), (279, 0), (306, 0), (364, 0), (408, 0), (435, 0)]",0,title,0.49975287225326975,0.49975287225326975,0.0004942554934637955,0.0,0.0,0.975609756097561
30,seg_00022,11,11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978846153799881,3.7708433919653666,0.0,"[(71, 0), (110, 0), (139, 0), (200, 0), (239, 0), (268, 0), (329, 0), (368, 0), (397, 0), (458, 0)]",0,title,0.49975287225326975,0.49975287225326975,0.0004942554934637955,0.0,0.0,0.975609756097561
38,seg_00023,11,11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978846153799881,3.7708433919653666,0.0,"[(98, 0), (112, 0), (156, 0), (227, 0), (241, 0), (285, 0), (356, 0), (370, 0), (414, 0), (485, 0)]",0,title,0.49975287225326975,0.49975287225326975,0.0004942554934637955,0.0,0.0,0.975609756097561
5,seg_00024,11,11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9788461537998809,3.7708433919653666,0.0,"[(34, 0), (45, 0), (148, 0), (163, 0), (174, 0), (277, 0), (292, 0), (303, 0), (406, 0), (421, 0)]",0,title,0.49975287225326975,0.49975287225326975,0.0004942554934637533,0.0,0.0,0.975609756097561
9,seg_00025,11,11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978846153799881,3.7708433919653666,0.0,"[(46, 0), (104, 0), (133, 0), (175, 0), (233, 0), (262, 0), (304, 0), (362, 0), (391, 0), (433, 0)]",0,title,0.49975287225326975,0.49975287225326975,0.0004942554934637955,0.0,0.0,0.975609756097561
41,seg_00026,10,10,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807692307182307,3.8578547689549962,0.0,"[(113, 0), (143, 0), (157, 0), (242, 0), (272, 0), (286, 0), (371, 0), (401, 0), (415, 0), (500, 0)]",0,title,0.4931185791900949,0.4931185791900949,0.013762841619807696,0.0,0.0,0.975609756097561
42,seg_00027,9,9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9826923076355302,3.9531649487593215,0.0,"[(14, 0), (74, 0), (99, 0), (203, 0), (228, 0), (332, 0), (357, 0), (461, 0), (486, 0)]",0,title,0.38306374454281095,0.38306374454281095,0.2338725109143805,0.0,0.0,0.9512195121951219
